company_name,industry,sub_industry,company_stage,company_size,role_title,role_description,required_skills,nice_to_have_skills,location,salary_min,salary_max,visa_sponsorship,min_experience_years
Continental AG,Automotive,Auto Parts,Established,Large (200-999),Software Developer,Focuses on developing software solutions for automotive parts and systems to enhance functionality and integration.,"Software Development, APIs","Agile Methodologies, DevOps","Hanover, Germany",65000,100000,True,3
Aisin Seiki Co.,Automotive,Auto Parts,Established,Large (200-999),Quality Assurance Engineer,Ensures that all automotive parts meet strict quality standards before they reach the market.,"Quality Control, Statistical Analysis Software","Lean Manufacturing, ISO Standards","Kariya, Japan",50000,75000,True,2
"Tesla, Inc.",Automotive,Electric Vehicles,Public,Large (200-999),Software Engineer,Develop and maintain software systems for vehicle control and diagnostics.,"C++, Python, Embedded Systems","Machine Learning, IoT","Palo Alto, CA",100000,140000,True,2
"Tesla, Inc.",Automotive,Electric Vehicles,Public,Large (200-999),Product Manager,Oversee the development and lifecycle of new electric vehicle models.,"Product Lifecycle Management, Agile Methodologies",UI/UX knowledge,"Fremont, CA",120000,170000,True,3
"Tesla, Inc.",Automotive,Electric Vehicles,Public,Large (200-999),VP of Sales,Lead global sales initiatives and strategies for Tesla's electric vehicles.,"Sales Management, Strategic Planning, Customer Relationship Management",Automotive Industry Knowledge,"Fremont, CA",180000,250000,True,10
"Tesla, Inc.",Automotive,Electric Vehicles,Public,Large (200-999),Marketing Director,Direct and enhance marketing campaigns for Tesla's product lines.,"Digital Marketing, Brand Management, Analytics",Public Relations,"Fremont, CA",150000,200000,True,8
"Tesla, Inc.",Automotive,Electric Vehicles,Public,Large (200-999),Operations Manager,Manage day-to-day operations in manufacturing and supply chain processes.,"Operations Management, Supply Chain Management, Lean Manufacturing",Six Sigma Certification,"Sparks, NV",90000,130000,True,5
NIO Inc.,Automotive,Electric Vehicles,Public,Large (200-999),Data Scientist,Analyze large sets of data to improve vehicle performance and user experience.,"Python, Machine Learning, Data Analysis","Big Data Technologies, AI knowledge","Shanghai, China",80000,120000,True,3
"Rivian Automotive, Inc.",Automotive,Electric Vehicles,Public,Medium (50-199),Cloud Engineer,Support and develop cloud solutions to power Rivian's electric vehicle ecosystem.,"AWS, Docker, Kubernetes","IoT Experience, Security Practices","Plymouth, MI",90000,130000,True,3
"BYD Auto Co., Ltd.",Automotive,Electric Vehicles,Public,Large (200-999),Battery Engineer,Design and improve battery systems for electric vehicles.,"Electrochemistry, Battery Management Systems, C++","Project Management, Thermal Management","Shenzhen, China",70000,110000,True,4
Lucid Motors,Automotive,Electric Vehicles,Public,Medium (50-199),DevOps Engineer,Implement and maintain CI/CD pipelines for software used in Lucid's electric vehicles.,"CI/CD, Docker, Kubernetes","Azure, Ansible","Newark, CA",115000,160000,True,3
Lucid Motors,Automotive,Electric Vehicles,Public,Medium (50-199),UX Designer,Design user interfaces and experiences for Lucid's in-car systems and apps.,"UX Design, Sketch, Adobe XD","Prototyping, User Research","Newark, CA",90000,130000,True,2
Lucid Motors,Automotive,Electric Vehicles,Public,Medium (50-199),Financial Analyst,Analyze financial data and trends to assist in strategic decision making at Lucid Motors.,"Financial Analysis, Excel, Financial Modeling","SAP, SQL","Newark, CA",80000,120000,True,2
Lucid Motors,Automotive,Electric Vehicles,Public,Medium (50-199),Senior Compliance Officer,Ensure all Lucid Motors' operations comply with applicable laws and regulations.,"Regulatory Compliance, Risk Management",Automotive Industry Knowledge,"Newark, CA",100000,150000,True,5
Lucid Motors,Automotive,Electric Vehicles,Public,Medium (50-199),Quality Assurance Engineer,Monitor and improve the quality of production processes and final products at Lucid Motors.,"Quality Control, Process Improvement",Six Sigma,"Casa Grande, AZ",70000,100000,True,3
Penske Automotive Group,Automotive,Automotive Retail,Public,Large (200-999),Vehicle Technician,"Performs vehicle repairs and maintenance, ensures functionality and reliability of vehicles.","Mechanical skills, Problem-solving, Attention to detail","Customer service, Certifications like ASE",Multiple Locations,40000,60000,True,2
"Carmax, Inc.",Automotive,Automotive Retail,Public,Large (200-999),Business Office Associate,"Handles car financing, registration, and service contract processing of car sales.","Financial services, Administrative skills, Customer relations","Multitasking, Communication skills",Multiple US Locations,30000,50000,False,1
"Lithia Motors, Inc.",Automotive,Automotive Retail,Public,Large (200-999),Digital Marketing Specialist,Develops and implements strategies to enhance online vehicle sales and customer engagement.,"SEO/SEM, Data Analytics, Content Creation","Graphic Design, Video Editing","Headquarters In Medford, OR",45000,70000,True,3
"Group 1 Automotive, Inc.",Automotive,Automotive Retail,Public,Large (200-999),Sales Manager,"Oversees vehicle sales operations, manages sales staff, and ensures profitability and customer satisfaction.","Leadership, Sales management, Automotive sales knowledge","Strategic planning, Financial acumen",Multiple Locations (US & UK),60000,90000,True,5
Wells Fargo & Company,Banking and Finance,Retail Banking,Public,Large (200-999),Personal Banker,"Assists customers with their personal banking needs, from opening new accounts to managing existing accounts.","Customer service, Sales, Financial knowledge","CRM software, Bilingual",Multiple US Locations,35000,50000,False,1
JPMorgan Chase & Co.,Banking and Finance,Retail Banking,Public,Large (200-999),Branch Manager,Oversees all operations of a branch from handling day-to-day activities to achieving financial goals.,"Leadership, Operational management, Financial analysis","Project management, Regulatory knowledge","Nationwide, Usa",60000,90000,True,5
Bank of America Corp.,Banking and Finance,Retail Banking,Public,Large (200-999),Financial Advisor,Provides financial advice to clients based on their personal financial situation and objectives.,"Financial planning, Risk management, Client relations","CFP, Tax planning","Nationwide, Usa",50000,75000,True,3
Citigroup Inc.,Banking and Finance,Retail Banking,Public,Large (200-999),Risk Analyst,"Identifies and analyzes the areas of potential risk threatening the assets, earning capacity, or success of the organization.","Risk assessment, Data analysis, Problem-solving","Financial modeling, SQL","New York, NY",70000,100000,True,2
Citigroup,Banking and Finance,Corporate Banking,Public,Large (200-999),Corporate Finance Analyst,Analyze financial data and assist in the financial planning and strategy for corporate clients.,"Financial Modeling, Data Analysis, Strategic Thinking","VBA, SQL","New York, NY",70000,110000,True,2
HSBC Holdings plc,Banking and Finance,Retail Banking,Public,Large (200-999),Compliance Officer,Ensures compliance with regulations and oversees the implementation of new regulatory requirements.,"Regulatory knowledge, Analytical skills, Attention to detail","Legal background, Communication skills","London, UK",45000,70000,True,3
Wells Fargo,Banking,Retail Banking,Public,Large (200-999),Software Engineer,Develop and maintain scalable financial processing systems.,"Java, SQL, Spring","Microservices, Docker","San Francisco, CA",90000,120000,True,2
Wells Fargo,Banking,Retail Banking,Public,Large (200-999),Product Manager,Oversee the development and strategy for banking products.,"Product Lifecycle Management, Agile Methodologies",Fintech Experience,"New York, NY",100000,140000,True,3
Wells Fargo,Banking,Retail Banking,Public,Large (200-999),VP of Sales,Lead the sales team to meet revenue targets in retail banking products.,"Leadership, Strategic Sales Planning",CRM Software,"Manhattan, NY",150000,250000,True,10
Wells Fargo,Banking,Retail Banking,Public,Large (200-999),Marketing Director,Direct and enhance the marketing strategies for retail banking services.,"Digital Marketing, Campaign Management",SEO/SEM,"San Francisco, CA",130000,180000,True,8
Wells Fargo,Banking,Retail Banking,Public,Large (200-999),Operations Manager,Manage day-to-day operations in retail banking branches.,"Operational Efficiency, Process Improvement",Lean Six Sigma,Multiple Locations,80000,120000,True,5
Wells Fargo,Banking,Retail Banking,Public,Large (200-999),Financial Analyst,Analyze financial data to support business decisions in the retail banking sector.,"Financial Modeling, Excel",CPA,"Charlotte, NC",70000,100000,True,2
Wells Fargo,Banking,Retail Banking,Public,Large (200-999),HR Business Partner,Provide HR support to enhance workforce capabilities and engagement.,"Employee Relations, Performance Management",HRIS Systems,"Charlotte, NC",90000,120000,True,3
Wells Fargo,Banking,Retail Banking,Public,Large (200-999),Legal Counsel,Advise on legal issues including banking regulations and compliance.,"Regulatory Compliance, Corporate Law",Litigation Experience,"Manhattan, NY",110000,160000,True,4
Wells Fargo,Banking,Retail Banking,Public,Large (200-999),Data Scientist,Apply machine learning techniques to improve banking decision processes.,"Machine Learning, Python",Big Data Platforms,"San Francisco, CA",120000,160000,True,3
Wells Fargo,Banking,Retail Banking,Public,Large (200-999),DevOps Engineer,Implement and manage continuous integration and deployment systems.,"CI/CD, Kubernetes",Cloud Services,"San Francisco, CA",100000,140000,True,3
Wells Fargo,Banking,Retail Banking,Public,Large (200-999),UX Designer,Design intuitive and effective user interfaces for banking applications.,"UX Design, Prototyping","Adobe XD, Sketch","New York, NY",85000,120000,True,2
Wells Fargo,Banking,Retail Banking,Public,Large (200-999),Customer Success Manager,Ensure customer satisfaction and retention for banking services.,"Customer Relationship Management, Communication Skills",CRM Software,Multiple Locations,60000,90000,True,2
Goldman Sachs,Banking and Finance,Investment Banking,Public,Large (200-999),Investment Banking Analyst,"Supports various financial analyses, including valuations and merger consequences.","Financial modeling, Excel, Analytical skills","Communication, Bloomberg Terminal","New York, NY",70000,90000,True,1
Morgan Stanley,Banking and Finance,Investment Banking,Public,Large (200-999),Investment Banking Associate,Responsible for creating and pitching financial solutions to clients.,"Market knowledge, Negotiation, Excel","Financial software, SQL","London, UK",90000,120000,True,3
Barclays,Banking and Finance,Investment Banking,Public,Large (200-999),Investment Banking Analyst,Assists in the preparation of financial forecasts and executes M&A transactions.,"Financial analysis, M&A experience, Presentation skills","Project management, Regulatory knowledge","London, UK",60000,85000,True,1
Credit Suisse,Banking and Finance,Investment Banking,Public,Large (200-999),Investment Banking Director,Oversees the strategic direction and operation of the investment banking division.,"Strategic planning, Risk management, Client relations","AI knowledge, Big data analysis","Zurich, Switzerland",180000,300000,True,12
BlackRock,Banking and Finance,Asset Management,Public,Large (200-999),Portfolio Manager,Responsible for managing investment portfolios and developing investment strategies.,"Financial analysis, Risk management, Portfolio management","CFA, MBA","New York, NY",150000,250000,True,5
Vanguard,Banking and Finance,Asset Management,Private,Large (200-999),Investment Analyst,Analyzes investment opportunities and assists in making decisions to align with the company's financial strategies.,"Data analysis, Statistical modeling, Investment research",CFA,"Malvern, PA",80000,120000,True,3
Fidelity Investments,Banking and Finance,Asset Management,Private,Large (200-999),Financial Consultant,Provides financial planning and advice to clients to help them achieve their financial goals.,"Financial planning, Client service, Regulatory knowledge","CFP, Salesforce experience","Boston, MA",90000,140000,True,4
T. Rowe Price,Banking and Finance,Asset Management,Public,Large (200-999),Asset Manager,"Oversees the management of client assets, ensuring optimal performance and alignment with client objectives.","Asset management, Client relations, Market analysis","MBA, Real estate experience","Baltimore, MD",100000,160000,True,5
Schroders,Banking and Finance,Asset Management,Public,Large (200-999),Quantitative Analyst,Uses mathematical models to analyze financial data and trends to assist in investment decisions.,"Quantitative analysis, Programming, Statistical tools","PhD in Quantitative Field, Machine learning","London, UK",70000,110000,True,2
Bridgewater Associates,Banking and Finance,Hedge Funds,Established,Large (200-999),Quantitative Analyst,Develop quantitative models to identify investment opportunities across global markets.,"Python, R, Statistical Analysis","Machine Learning, Data Visualization","Westport, CT",150000,250000,True,2
Renaissance Technologies,Banking and Finance,Hedge Funds,Established,Medium (50-199),Data Scientist,Analyze complex datasets to model patterns and predict market trends.,"Machine Learning, Python, Big Data","Deep Learning, AI","East Setauket, NY",180000,300000,True,3
Two Sigma Investments,Banking and Finance,Hedge Funds,Growth,Medium (50-199),Software Engineer,Develop software solutions to enhance trading algorithms and financial models.,"Java, Scala, Algorithm Development","Cloud Computing, Distributed Systems","New York, NY",130000,220000,True,2
Elliott Management Corporation,Banking and Finance,Hedge Funds,Established,Large (200-999),Financial Analyst,Analyze financial data and develop strategies for trading distressed and undervalued securities.,"Financial Modeling, Excel, SQL","C#, Python","New York, NY",110000,210000,True,1
AQR Capital Management,Banking and Finance,Hedge Funds,Established,Large (200-999),Research Scientist,Conduct empirical research and statistical analysis to create models for investment strategies.,"R, Matlab, Statistical Analysis","Python, Machine Learning","Greenwich, CT",140000,240000,True,3
Blackstone Group,Banking and Finance,Private Equity,Established,Large (200-999),Investment Analyst,Responsible for analyzing investment opportunities and market trends.,"Financial Modeling, Market Analysis, Excel","SQL, Bloomberg Terminal","New York, NY",90000,140000,True,2
KKR & Co. Inc.,Banking and Finance,Private Equity,Established,Large (200-999),Private Equity Associate,"Engages in due diligence, investment analysis, and portfolio management.","Due Diligence, Investment Valuation, Risk Management","Private Equity Software, CRM","San Francisco, CA",110000,160000,True,3
The Carlyle Group,Banking and Finance,Private Equity,Established,Large (200-999),Business Development Manager,Focuses on identifying new investment opportunities and fostering business relationships.,"Networking, Negotiation, Strategic Planning","Multilingual, Public Speaking","Washington, DC",95000,130000,True,4
