company_name,about,industry,sub_industry,company_stage,size,culture_tags,tech_stack,total_roles
BASF Corporation,"World's largest chemical producer with focus on petrochemicals, performance products, and agricultural solutions",Manufacturing,Chemical Production,Public,"Enterprise (5,000+)","Innovation-driven, Sustainability-focused, Global collaboration","SAP ERP, Aspen HYSYS, AVEVA Process Simulation, Laboratory LIMS",5
Syngenta,Syngenta is a global company based in Switzerland that produces agrochemicals and seeds and is particularly known for its high-performance crop protection products.,Agriculture,Agrichemicals,Public,Large (200-999),"Collaborative, Eco-friendly, Research-focused","Oracle, Java, Python",1
Bayer Crop Science,"A division of Bayer, it is known for its products in crop protection, non-agricultural pest control, seeds and plant biotechnology.",Agriculture,Agrichemicals,Public,Large (200-999),"Innovative, Health-conscious, Global","SAP, Microsoft Azure, Python",1
Corteva Agriscience,"Corteva Agriscience is a publicly traded, global pure-play agriculture company that provides farmers around the world with the most complete portfolio in the industry.",Agriculture,Agricultural Biotechnology,Public,"Very Large (1,000-4,999)","Innovative, Sustainable, Employee-focused","CRISPR, Bioinformatics tools, Genomic sequencing",5
FMC Corporation,"American chemical manufacturing company specializing in agricultural, industrial and consumer products with a notable presence in the agrichemicals sector.",Agriculture,Agrichemicals,Public,Large (200-999),"Innovative, Safety-focused, Global","SAP, Microsoft Dynamics, Tableau",1
Indigo Ag,"Indigo Ag improves farmer profitability, environmental sustainability, and consumer health through the use of natural microbiology and digital technologies.",Agriculture,AgriTech,Growth,"Very Large (1,000-4,999)","Innovative, Sustainable, Impact-driven","Python, AWS, React",1
AeroFarms,AeroFarms is a leading vertical farming company using advanced aeroponics and LED lighting systems to grow produce.,Agriculture,AgriTech,Growth,Large (200-999),"Eco-friendly, Team-oriented, Health-conscious","IoT, Cloud Computing, JavaScript",1
Farmers Business Network,Farmers Business Network uses data analytics and machine learning to provide farmers with information to make better farming decisions.,Agriculture,AgriTech,Growth,Large (200-999),"Data-driven, Farmer-first, Transparent","Scala, Big Data, Angular",1
Ceres Imaging,Ceres Imaging provides high-resolution aerial imagery and data analytics for precision agriculture.,Agriculture,AgriTech,Growth,Large (200-999),"Innovative, Detail-oriented, Customer-focused","Python, GIS, React Native",1
The Climate Corporation,The Climate Corporation aims to help all the world’s farmers sustainably increase their productivity with digital tools.,Agriculture,AgriTech,Growth,"Very Large (1,000-4,999)","Sustainability-focused, Innovative, Global","Java, Cloud Computing, React",1
Mowi ASA,"Mowi ASA is one of the largest seafood companies in the world, and the world’s largest producer of Atlantic salmon. The company's operations cover the entire value chain from feed to plate.",Agriculture,Aquaculture,Public,Large (200-999),"Innovative, Sustainable, Global","IoT, Cloud Computing, Big Data",3
Cermaq Group AS,"A leading global producer of salmon and trout with operations in Norway, Canada, and Chile, focused on sustainable aquaculture practices.",Agriculture,Aquaculture,Private,"Very Large (1,000-4,999)","Eco-friendly, Team-oriented","ERP software, Remote sensing technology",3
Cooke Aquaculture,"A family-owned company based in Canada, Cooke Aquaculture is a major global producer of seafood, specializing in salmon.",Agriculture,Aquaculture,Private,Large (200-999),"Family-oriented, Integrity, Innovation","Cloud Solutions, ERP Systems, Data Analytics",1
Grieg Seafood ASA,"Grieg Seafood ASA is one of the world’s leading salmon aquaculture companies, with farms in Norway, Canada, and Scotland.",Agriculture,Aquaculture,Public,Medium (50-199),"Sustainability, Transparency, Responsibility","Sensors, Automated Feeding Systems, Data Collection",1
SalMar ASA,"A Norwegian company that operates within aquaculture, focusing on the production of farmed salmon.",Agriculture,Aquaculture,Public,Medium (50-199),"Innovation, Growth-focused, Sustainability","AI, Machine Learning, ERP",1
Toyota Motor Corporation,"Toyota is a Japanese multinational automotive manufacturer headquartered in Toyota City, Aichi, Japan. Founded in 1937, Toyota has grown to become one of the largest car manufacturers in the world, known for its durable and efficient vehicles.",Automotive,Car Manufacturers,Public,Large (200-999),"Innovation, Sustainability, Quality Focus","IoT, Machine Learning, Cloud Computing",1
Volkswagen AG,"Headquartered in Wolfsburg, Germany, Volkswagen is one of the world's leading manufacturers of automobiles and commercial vehicles. It's known for its brands such as Audi, Skoda, and Porsche.",Automotive,Car Manufacturers,Public,Large (200-999),"Diversity, Innovation, Heritage","ERP, SAP, Big Data",1
Ford Motor Company,"Founded by Henry Ford in 1903, Ford is an American multinational automaker based in Dearborn, Michigan, known for revolutionizing the automobile industry with assembly line production methods.",Automotive,Car Manufacturers,Public,Large (200-999),"Innovation, Community Engagement, Sustainability","Autodesk, PLM Software, Predictive Analytics",1
"Honda Motor Co., Ltd.","Honda is a global leader in motorcycles, known for their performance and reliability. Honda's motorcycle division produces a range of bikes, including sport, touring, and commuter models.",Automotive,Motorcycle Manufacturers,Public,Large (200-999),"Innovative, Sustainability, Global Presence","Java, Oracle, Python",1
General Motors Company,"General Motors, commonly referred to as GM, is an American multinational corporation headquartered in Detroit that designs, manufactures, markets, and distributes vehicles and vehicle parts.",Automotive,Car Manufacturers,Public,Large (200-999),"Innovation, Safety, Quality","Machine Learning, Cloud Solutions, Cybersecurity",1
Daimler Truck,"Daimler Truck is a leading global manufacturer of commercial vehicles, known for its heavy-duty trucks under the Mercedes-Benz, Freightliner, and Fuso brands.",Automotive,Commercial Vehicles,Established,Large (200-999),"Innovation, Sustainability, Global Reach","SAP, AutoCAD, Microsoft Azure",1
Volvo Trucks,"Volvo Trucks provides complete transport solutions for professional and demanding customers, offering a full range of medium to heavy duty trucks.",Automotive,Commercial Vehicles,Established,Large (200-999),"Safety, Quality, Environmental Care","Java, Python, IoT",1
PACCAR Inc,"PACCAR is a global technology leader in the design, manufacture, and customer support of premium light-, medium-, and heavy-duty trucks under the Kenworth, Peterbilt, and DAF nameplates.",Automotive,Commercial Vehicles,Established,Large (200-999),"Innovation, Durability, Customer Focus","C++, MATLAB, Simulink",1
Scania,"Scania is a world-leading provider of transport solutions, including trucks and buses for heavy transport applications combined with an extensive product-related service offering.",Automotive,Commercial Vehicles,Established,Large (200-999),"Customer First, Respect for the Individual, Elimination of Waste","React, Node.js, MongoDB",1
Navistar International Corporation,"Navistar is a manufacturer of commercial trucks, buses, defense vehicles, and engines, providing its products under the International and IC Bus brand names.",Automotive,Commercial Vehicles,Established,Large (200-999),"Leadership, Integrity, Excellence","Python, JavaScript, Salesforce",1
"Harley-Davidson, Inc.","Harley-Davidson, Inc. is an American motorcycle manufacturer known for its heavyweight motorcycles designed for cruising on highways.",Automotive,Motorcycle Manufacturers,Public,Large (200-999),"Iconic Brand, Customer Focused, Innovative","SAP, Microsoft Dynamics, Salesforce",1
"Yamaha Motor Co., Ltd.","Yamaha manufactures a wide range of motorcycles, from off-road bikes to sporty street bikes, noted for their advanced technology and design.",Automotive,Motorcycle Manufacturers,Public,Large (200-999),"Innovative, Team-oriented, High Performance","C++, MATLAB, Simulink",1
BMW Motorrad,"BMW Motorrad is part of the BMW Group and is known for its luxury and high-performance motorcycles, combining innovation and quality.",Automotive,Motorcycle Manufacturers,Public,Large (200-999),"Prestige, Quality Focus, Innovative","SAP, Adobe Suite, Autodesk",1
Ducati Motor Holding S.p.A.,"Ducati is renowned for its high-performance motorcycles characterized by large-capacity engines, sophisticated design, and advanced engineering.",Automotive,Motorcycle Manufacturers,Public,Medium (50-199),"Passion for Speed, Exclusivity, Innovation","PLM Software, Python, R",1
Bosch Auto Parts,"Bosch Auto Parts is a division of the Bosch Group, a leading global supplier of technology and services in the areas of automotive and industrial technology, consumer goods, and building technology.",Automotive,Auto Parts,Established,Large (200-999),"Innovative, Sustainable, Global Presence","SAP, Oracle, Java",1
Denso,"Denso is a leading supplier of advanced automotive technology, systems, and components for all the world's major automakers.",Automotive,Auto Parts,Established,Large (200-999),"Innovative, Diverse, Eco-Friendly","C++, Python, MATLAB",1
Denso Corporation,"Denso is a leading supplier of advanced automotive technology, systems, and components for major automakers. They specialize in climate control, powertrains, electronics, and safety systems.",Automotive,Auto Parts,Established,Large (200-999),"Innovative, High-tech, Quality-focused","Python, Scala, TensorFlow, Kubernetes",3
Magna International Inc.,"Magna International is one of the largest automotive suppliers worldwide, providing innovative solutions in body exteriors and structures, power and vision technologies, seating systems and complete vehicle solutions.",Automotive,Auto Parts,Established,Large (200-999),"Innovative, Global, Inclusive","Java, Python, React, AWS",3
Continental AG,Continental AG develops pioneering technologies and services for sustainable and connected mobility of people and their goods.,Automotive,Auto Parts,Established,Large (200-999),"Innovative, Sustainable, Global","Python, JavaScript, SQL",1
Aisin Seiki Co.,"Aisin Seiki Co., Ltd. is a Japanese corporation that develops and produces components and systems for the automotive industry.",Automotive,Auto Parts,Established,Large (200-999),"Innovative, Quality-Focused, Global","AutoCAD, CATIA, MATLAB",1
"Tesla, Inc.","Tesla, Inc. is an American electric vehicle and clean energy company founded by Elon Musk and others. Tesla is known for its electric cars, battery energy storage from home to grid scale, solar panels and solar roof tiles.",Automotive,Electric Vehicles,Public,Large (200-999),"Innovative, Sustainable, High-pace","Python, Java, React, Node.js, AWS",5
NIO Inc.,"NIO is a Chinese automobile manufacturer specializing in designing and developing electric autonomous vehicles. It is known for its smart, connected EVs and innovations in battery technology.",Automotive,Electric Vehicles,Public,Large (200-999),"Innovative, Sustainable, Global","Java, Python, Scala",1
"Rivian Automotive, Inc.","Rivian is an American company that develops vehicles and services that inspire people to get out and explore the world. They are known for their rugged, all-electric R1T pickup and R1S SUV.",Automotive,Electric Vehicles,Public,Medium (50-199),"Adventurous, Eco-friendly, Cutting-edge","React, Node.js, AWS",1
"BYD Auto Co., Ltd.","BYD is a Chinese manufacturer of automobiles, battery-powered bicycles, buses, forklifts, solar panels, and rechargeable batteries. The company has grown to become a major manufacturer of electric vehicles.",Automotive,Electric Vehicles,Public,Large (200-999),"Innovative, Sustainable, Pioneering","Python, C#, .NET",1
Lucid Motors,Lucid Motors is an American automotive company specializing in electric cars. The company's mission is to inspire the adoption of sustainable energy by creating the most captivating electric vehicles.,Automotive,Electric Vehicles,Public,Medium (50-199),"Luxury, Performance-driven, Cutting-edge","Python, C#, Angular, Azure",5
Penske Automotive Group,"Penske operates automotive and commercial truck dealerships across the globe. It is known for its wide range of new and used cars, and commercial vehicles for sale.",Automotive,Automotive Retail,Public,Large (200-999),"dynamic, team-oriented, growth-focused","JavaScript, React, Oracle",1
"Carmax, Inc.","Carmax is the largest used-car retailer in the United States, offering a straightforward and honest car buying and selling experience.",Automotive,Automotive Retail,Public,Large (200-999),"integrity, transparency, respect","C#, .NET, Azure",1
"Lithia Motors, Inc.","One of the largest automotive retailers in the United States, Lithia Motors offers a wide range of new and used vehicles together with vehicle maintenance services.",Automotive,Automotive Retail,Public,Large (200-999),"empowerment, customer-centric, innovative","PHP, Laravel, MySQL",1
"Group 1 Automotive, Inc.","An international automotive retailer, with dealerships primarily located in the United States and the United Kingdom. They offer vehicles and aftermarket services.",Automotive,Automotive Retail,Public,Large (200-999),"professional, committed, customer-first","Python, Django, PostgreSQL",1
Wells Fargo & Company,"Wells Fargo & Company is a diversified, community-based financial services company with a vision to satisfy customer's financial needs and help them succeed financially.",Banking and Finance,Retail Banking,Public,Large (200-999),"Community-focused, Customer-centric, Inclusive","Java, Python, Salesforce",1
JPMorgan Chase & Co.,"JPMorgan Chase & Co. is a leading global financial services firm with assets of $2.6 trillion, offering solutions to the world's most important corporations, governments, and institutions.",Banking and Finance,Retail Banking,Public,Large (200-999),"Innovative, Performance-driven, Global","C++, Python, Blockchain",1
Bank of America Corp.,"Bank of America is one of the world's leading financial institutions, serving individuals, small and middle-market businesses, and large corporations with a full range of banking, investing, asset management, and other financial and risk management products and services.",Banking and Finance,Retail Banking,Public,Large (200-999),"Ethical, Supportive, Diversity-focused","React, Node.js, Azure",1
Citigroup Inc.,"Citigroup Inc. is a global diversified financial services holding company whose businesses provide consumers, corporations, governments, and institutions with a broad range of financial products and services.",Banking and Finance,Retail Banking,Public,Large (200-999),"Innovative, Customer-focused, Inclusive","Angular, Java, Oracle",1
Citigroup,Citigroup is a diversified financial services holding company that provides a broad range of financial products and services.,Banking and Finance,Corporate Banking,Public,Large (200-999),"Global, Inclusive, Innovative","Python, C++, Oracle",1
HSBC Holdings plc,"HSBC Holdings plc is one of the largest banking and financial services organisations in the world, serving millions of customers through its global businesses.",Banking and Finance,Retail Banking,Public,Large (200-999),"Global, Sustainable, Responsible","Python, Scala, Hadoop",1
Wells Fargo,"Wells Fargo & Company is an American multinational financial services company with corporate headquarters in San Francisco, California, operational headquarters in Manhattan, and managerial offices throughout the United States and internationally.",Banking,Retail Banking,Public,Large (200-999),"Customer-Focused, Inclusive, Stability","Java, Python, React, Salesforce",12
Goldman Sachs,"Goldman Sachs is a leading global investment banking, securities, and investment management firm that provides a wide range of financial services to a substantial and diversified client base.",Banking and Finance,Investment Banking,Public,Large (200-999),"Innovative, Client-focused, High-performance","Java, Python, React",1
Morgan Stanley,"Morgan Stanley is a global financial services firm that offers investment banking, securities, investment management, and wealth management services.",Banking and Finance,Investment Banking,Public,Large (200-999),"Diverse, Client-centric, Professional","C#, .NET, Angular",1
Barclays,"Barclays is a British multinational investment bank and financial services company, specializing in investment banking, personal banking, corporate banking, and wealth management.",Banking and Finance,Investment Banking,Public,Large (200-999),"Empowerment, Collaborative, Ethical","JavaScript, Python, Node.js",1
Credit Suisse,"Credit Suisse is a leading global wealth manager, investment bank, and financial services company founded and based in Switzerland.",Banking and Finance,Investment Banking,Public,Large (200-999),"Inclusive, Innovative, Accountability","Java, Scala, Hadoop",1
BlackRock,"BlackRock, Inc. is an American global investment management corporation based in New York City. Founded in 1988, initially as a risk management and fixed income institutional asset manager, BlackRock is the world's largest asset manager, with $10 trillion in assets under management as of January 2021.",Banking and Finance,Asset Management,Public,Large (200-999),"Innovative, Diverse, Sustainability-focused","Aladdin, Python, Java, Cloud Services",1
Vanguard,"The Vanguard Group, Inc. is an American registered investment advisor based in Malvern, Pennsylvania with over $7.1 trillion in assets under management. It is the largest provider of mutual funds and the second-largest provider of exchange-traded funds (ETFs) in the world.",Banking and Finance,Asset Management,Private,Large (200-999),"Client-focused, Integrity, High-performance","React, Node.js, Python",1
Fidelity Investments,"Fidelity Investments Inc., commonly referred to as Fidelity, is an American multinational financial services corporation based in Boston, Massachusetts. It is one of the largest asset managers with $4.9 trillion in assets under management as of June 2020.",Banking and Finance,Asset Management,Private,Large (200-999),"Innovative, Collaborative, Employee-focused","Angular, Spring Boot, Oracle",1
T. Rowe Price,"T. Rowe Price is an American publicly owned global investment management firm that offers funds, advisory services, account management, and retirement plans and services for individuals, institutions, and financial intermediaries.",Banking and Finance,Asset Management,Public,Large (200-999),"Client-first, Respectful, Ethical","C#, .NET, SQL Server",1
Schroders,"Schroders plc is a British multinational asset management company, founded in 1804. It is one of the world's oldest and largest independent asset managers, managing £574.4 billion of assets.",Banking and Finance,Asset Management,Public,Large (200-999),"Innovative, Global perspective, Sustainability-focused","Python, R, Azure",1
Bridgewater Associates,"Founded by Ray Dalio in 1975, Bridgewater Associates is a global leader in institutional portfolio management and the largest hedge fund in the world.",Banking and Finance,Hedge Funds,Established,Large (200-999),"Innovative, Data-driven, Transparent","Python, R, SQL",1
Renaissance Technologies,"Renaissance Technologies, founded in 1982 by Jim Simons, is known for its quantitative approach to investment management primarily using mathematical and statistical methods.",Banking and Finance,Hedge Funds,Established,Medium (50-199),"Secrecy, Elite, Tech-focused","C++, Python, Hadoop",1
Two Sigma Investments,"Established in 2001 by John Overdeck and David Siegel, Two Sigma Investments applies technology and data science to predict financial opportunities.",Banking and Finance,Hedge Funds,Growth,Medium (50-199),"Innovative, Collaborative, Tech-driven","Python, Java, Scala",1
Elliott Management Corporation,"Founded by Paul Singer in 1977, Elliott Management Corporation is a multi-strategy fund specializing in distressed securities, equity-oriented investments, and debt trading.",Banking and Finance,Hedge Funds,Established,Large (200-999),"Aggressive, Results-oriented, Strategic","Python, C#, SQL Server",1
AQR Capital Management,"Founded in 1998 by Cliff Asness, AQR Capital Management is a global investment management firm that uses a systematic, research-driven approach to make investment decisions.",Banking and Finance,Hedge Funds,Established,Large (200-999),"Analytical, Research-focused, Collaborative","Python, Matlab, R",1
Blackstone Group,"Blackstone is one of the world's leading investment firms that specializes in private equity, real estate, and hedge fund investment strategies.",Banking and Finance,Private Equity,Established,Large (200-999),"Innovative, Professional, Global","Salesforce, Oracle, SAP",1
KKR & Co. Inc.,KKR is a global investment company that offers alternative asset management as well as capital markets and insurance solutions.,Banking and Finance,Private Equity,Established,Large (200-999),"Collaborative, High-Performance, Entrepreneurial","Microsoft Dynamics, Tableau",1
The Carlyle Group,"The Carlyle Group is a global investment firm with deep industry expertise in private equity, along with real estate, and private credit.",Banking and Finance,Private Equity,Established,Large (200-999),"Inclusive, Impactful, Growth-Oriented","CRM, ERP",1
Silver Lake Partners,Silver Lake is a technology-focused investment firm with a strong emphasis on leveraged buyout and growth capital investments in technology and related sectors.,Banking and Finance,Private Equity,Established,Medium (50-199),"Tech-Driven, Innovative, Team-Oriented","Python, Java, Cloud Services",1
Apollo Global Management,"Apollo Global Management is a leading global alternative investment manager with a dynamic approach to investing across private equity, credit, and real assets.",Banking and Finance,Private Equity,Established,Large (200-999),"Dynamic, Results-Oriented, Resourceful","Salesforce, Custom CRM Solutions",1
Sequoia Capital,"Sequoia Capital is a venture capital firm that focuses on investments in the technology industry, providing capital funding to companies at various stages of growth.",Banking and Finance,Venture Capital,Established,Large (200-999),"Innovative, Entrepreneurial, Impact-focused","Salesforce, Google Analytics",1
Andreessen Horowitz,"Andreessen Horowitz, also known as a16z, is a private venture capital firm that invests in both early-stage start-ups and established growth companies.",Banking and Finance,Venture Capital,Established,Large (200-999),"Tech-savvy, Collaborative, Forward-thinking","Slack, Asana",1
Benchmark Capital,Benchmark Capital is known for its early-stage funding and focuses on technology-driven companies across various sectors.,Banking and Finance,Venture Capital,Established,Medium (50-199),"Entrepreneurial spirit, Team-oriented, High-performance","Microsoft Excel, QuickBooks",1
Kleiner Perkins,"Kleiner Perkins is a venture capital firm that specializes in investing in incubation, early-stage and growth companies in the Internet, mobile, and technology sectors.",Banking and Finance,Venture Capital,Established,Large (200-999),"Innovative, Supportive, Growth-focused","Zoom, Google Suite",1
Accel,"Accel is a global venture capital firm that partners with exceptional founders with unique insights, from inception through all phases of private company growth.",Banking and Finance,Venture Capital,Established,Large (200-999),"Global mindset, Entrepreneurial, Collaborative","HubSpot, Tableau",1
Allstate Corporation,"Allstate is a leading U.S. based insurance company that provides a variety of insurance products including auto, home, life, and commercial insurance.",Banking and Finance,Insurance,Established,Large (200-999),"Customer-focused, Innovative, Community-oriented","Java, Python, Salesforce",1
AXA,"AXA is a French multinational insurance firm headquartered in Paris that engages in global insurance, investment management, and other financial services.",Banking and Finance,Insurance,Established,Large (200-999),"Global, Inclusive, Innovative","C#, .NET, Angular",1
State Farm,State Farm is a large group of insurance and financial services firms in the United States. It is also the largest property and casualty insurance provider in the United States.,Banking and Finance,Insurance,Established,Large (200-999),"Supportive, Team-oriented, Community-focused","Python, JavaScript, React",1
Berkshire Hathaway,"Berkshire Hathaway is a multinational conglomerate holding company led by Warren Buffett, primarily involved in insurance and other financial services.",Banking and Finance,Insurance,Established,Large (200-999),"Stable, Performance-driven, Analytical","Java, Oracle, SAP",1
Prudential Financial,"Prudential Financial, Inc. is an American Fortune Global 500 and Fortune 500 company whose subsidiaries provide insurance, investment management, and other financial products and services.",Banking and Finance,Insurance,Established,Large (200-999),"Innovative, Supportive, Ethical","Python, R, Salesforce",1
Genus PLC,"Genus PLC is a world-leading animal genetics company, providing breeding stock and genetic services for bovine and porcine farmers.",Agriculture,Animal Husbandry,Public,"Enterprise (5,000+)","Innovative, Sustainability-focused, Global","Python, Java, AWS, React",13
AquaBounty Technologies,"AquaBounty Technologies is a biotechnology company dedicated to improving productivity in aquaculture, a rapidly growing segment of the global food industry. They are known for their genetically modified salmon, designed to grow faster than traditional fish.",Agriculture,Aquaculture,Growth,Large (200-999),"Innovative, Sustainability-focused, Team-oriented","Python, JavaScript, AWS, Docker",12
Weyerhaeuser,"Weyerhaeuser is one of the world's largest private owners of timberlands, beginning operations in 1900. They manage the timberlands on a sustainable basis in compliance with internationally recognized forestry standards.",Agriculture,Forestry,Established,Large (200-999),"Sustainability-focused, Innovative, Employee-centric","Python, Java, AWS, React",13
GreenGrowth Horticultures,"GreenGrowth Horticultures specializes in innovative gardening solutions and sustainable horticulture practices, offering a wide range of products and services to enhance urban and rural gardening.",Agriculture,Horticulture,Growth,Large (200-999),"Innovative, Sustainable, Team-oriented","Python, React, AWS, Docker",7
FloraTech,"FloraTech provides cutting-edge technology solutions for horticulture, focusing on automation and AI to revolutionize farming practices.",Agriculture,Horticulture,Established,"Very Large (1,000-4,999)","Tech-driven, Eco-friendly, Inclusive","JavaScript, Node.js, MongoDB, TensorFlow",5
BloomBotanics,"BloomBotanics is focused on delivering high-quality, sustainable plant varieties and gardening supplies to enhance both commercial and personal gardening projects.",Agriculture,Horticulture,Established,Large (200-999),"Customer-focused, Innovative, Sustainable","Ruby on Rails, PostgreSQL, React",3
Midas,"Midas is a leading chain of auto service centers globally, specializing in a wide range of automotive repair and maintenance services including oil changes, tires, brakes, and exhaust.",Automotive,Auto Repair and Maintenance,Established,"Enterprise (5,000+)","Customer-focused, Innovative, Team-oriented","Java, Python, React",7
Firestone Complete Auto Care,"Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering quality services, including tire services, engine diagnostics, and oil changes.",Automotive,Auto Repair and Maintenance,Established,"Enterprise (5,000+)","Inclusive, Quality-driven, Professional","JavaScript, SQL, Salesforce",6
Jiffy Lube,"Jiffy Lube specializes in car maintenance and servicing, including oil changes, battery replacements, and other preventative maintenance services.",Automotive,Auto Repair and Maintenance,Established,"Enterprise (5,000+)","Fast-paced, Customer-centric, Detail-oriented","C#, .NET, Angular",6
AutoNation,AutoNation is the largest automotive retailer in the United States and is a provider of new and pre-owned vehicles and associated services.,Automotive,Automotive Retail,Public,Large (200-999),"Customer-Focused, Innovative, Inclusive","Java, React, AWS, Salesforce, Python",14
Cermaq,"Cermaq is a leading global aquaculture company specializing in salmon and trout farming, with a strong commitment to sustainability and fish welfare.",Agriculture,Aquaculture,Public,Large (200-999),"Sustainability-focused, Employee-driven, Innovative","IoT, Analytics, Cloud Solutions",3
Chime,Chime is a technology-driven company that provides online banking services designed to help users manage their finances easier and without traditional bank fees.,Banking,Online Banking,Growth,"Very Large (1,000-4,999)","Innovative, Customer-centric, Team-oriented","AWS, Python, React, Node.js",13
"Moderna, Inc.",Moderna is pioneering messenger RNA therapeutics and vaccines to create a new generation of transformative medicines for patients.,Biotechnology,Pharmaceuticals,Public,"Enterprise (5,000+)","Innovative, Patient-focused, Collaborative","Python, R, AWS, Docker",10
Illumina Inc,"Illumina is a global leader in genomics – an industry at the intersection of biology and technology. The company specializes in DNA sequencing and array-based technologies, serving customers in the research, clinical, and applied markets.",Biotechnology,Bioinformatics,Established,Large (200-999),"Innovative, Collaborative, Ethical","Python, Java, R, AWS, Docker",5
10x Genomics,10x Genomics is a company focused on accelerating genetic discoveries through its innovative genomic and single-cell analysis technologies.,Biotechnology,Bioinformatics,Growth,Medium (50-199),"Cutting-edge, Team-oriented, Growth-minded","Python, R, Hadoop, Spark, Kubernetes",5
Qiagen,"Qiagen is a provider of sample and assay technologies for molecular diagnostics, applied testing, academic and pharmaceutical research.",Biotechnology,Bioinformatics,Established,Large (200-999),"Global, Inclusive, Innovative","C++, Python, MySQL, Oracle, Cloud Services",5
DuPont Pioneer,DuPont Pioneer is a leading developer and supplier of plant genetics to farmers worldwide.,Agriculture,Crop Production,Public,"Very Large (1,000-4,999)","Innovative, Research-driven, Global reach","Bioinformatics tools, Genetic sequencing software, ERP systems",3
Smithfield Foods,Smithfield Foods is a global food company specializing in pork production. They offer a wide range of fresh pork and packaged meats products.,Agriculture,Animal Production,Private,"Very Large (1,000-4,999)","Innovative, Sustainability-focused","Livestock management software, Supply chain management systems",3
AGCO Corporation,"AGCO Corporation is a global leader in the design, manufacture, and distribution of agricultural equipment and solutions.",Agriculture,Agricultural Machinery,Public,"Very Large (1,000-4,999)","Global mindset, Innovative, Quality-driven","ERP systems, CAD software, Data analytics tools",5
CNH Industrial,"CNH Industrial is a global leader in the capital goods sector that, through its various businesses, designs, produces and sells agricultural and construction equipment.",Agriculture,Agricultural Machinery,Public,"Very Large (1,000-4,999)","Innovative, Customer-focused, Ethical","IoT platforms, Big data analytics, Cloud computing",5
Skretting,"An international leader in the manufacture and supply of aquaculture feeds, enhancing the sustainability and profitability of fish farming.",Agriculture,Aquaculture,Private,"Very Large (1,000-4,999)","Innovative, Global perspective","Supply chain management systems, Quality control systems",3
Rayonier,Rayonier is a leading timberland real estate investment trust with assets located in some of the most productive softwood timber growing regions in the United States and New Zealand.,Agriculture,Forestry,Public,"Very Large (1,000-4,999)","Ethical, Growth-oriented, Data-driven","Remote sensing technology, Forest management software",3
PotlatchDeltic Corporation,"PotlatchDeltic is a real estate investment trust (REIT) that owns nearly 2 million acres of timberlands in Alabama, Arkansas, Idaho, Louisiana, and Mississippi. It also operates facilities that manufacture lumber and other wood products.",Agriculture,Forestry,Public,"Very Large (1,000-4,999)","Innovative, Sustainability-focused, Employee-centric","Lumber production technology, Timberland management systems",3
